"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка переключения видимости пароля на этапе восстановления","11772","Переключение видимости пароля","tests","Sat May 10 19:14:32 MSK 2025","passed","Sat May 10 19:14:43 MSK 2025","TestPasswordReset","test_password_reset","",""
"Переход в 'Ленту заказов' и проверка, что страница открылась","7750","Переход в 'Ленту заказов'","tests","Sat May 10 19:09:03 MSK 2025","passed","Sat May 10 19:09:11 MSK 2025","TestMainPage","test_main_page","",""
"Переход из главной страницы в профиль авторизованного пользователя","6389","Переход в профиль пользователя","tests","Sat May 10 19:15:19 MSK 2025","passed","Sat May 10 19:15:25 MSK 2025","TestProfile","test_profile","",""
"Проверка открытия и закрытия окна с деталями ингредиента","8420","Открытие и закрытие окна деталей ингредиента","tests","Sat May 10 19:09:12 MSK 2025","passed","Sat May 10 19:09:20 MSK 2025","TestMainPage","test_main_page","",""
"Переход со страницы логина на страницу восстановления пароля","7321","Переход на страницу восстановления пароля","tests","Sat May 10 19:13:43 MSK 2025","passed","Sat May 10 19:13:50 MSK 2025","TestPasswordReset","test_password_reset","",""
"Переход в 'Ленту заказов' и проверка, что страница открылась","11802","Переход в 'Ленту заказов'","tests","Sat May 10 19:08:49 MSK 2025","passed","Sat May 10 19:09:01 MSK 2025","TestMainPage","test_main_page","",""
"Запрос на восстановление пароля с корректным email","9251","Запрос восстановления пароля","tests","Sat May 10 19:14:04 MSK 2025","passed","Sat May 10 19:14:14 MSK 2025","TestPasswordReset","test_password_reset","",""
"Переход со страницы логина на страницу восстановления пароля","11110","Переход на страницу восстановления пароля","tests","Sat May 10 19:13:52 MSK 2025","passed","Sat May 10 19:14:03 MSK 2025","TestPasswordReset","test_password_reset","",""
"Проверка, что новый заказ отображается в списке заказов 'в работе'","2127","test_new_order_appears_in_progress[chrome]","tests","Sat May 10 19:13:11 MSK 2025","passed","Sat May 10 19:13:13 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка увеличения счётчика заказов, выполненных сегодня","10367","test_today_done_counter_increases[chrome]","tests","Sat May 10 19:12:22 MSK 2025","passed","Sat May 10 19:12:32 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка, что окно деталей заказа отображается после оформления","1934","Создание заказа","tests","Sat May 10 19:10:14 MSK 2025","passed","Sat May 10 19:10:16 MSK 2025","TestMainPage","test_main_page","",""
"Переход в раздел 'Конструктор' и проверка его отображения","18947","Переход в раздел 'Конструктор'","tests","Sat May 10 19:08:29 MSK 2025","passed","Sat May 10 19:08:48 MSK 2025","TestMainPage","test_main_page","",""
"Проверка, что счётчик ингредиента увеличивается после добавления","6154","Увеличение счётчика ингредиента","tests","Sat May 10 19:09:45 MSK 2025","failed","Sat May 10 19:09:52 MSK 2025","TestMainPage","test_main_page","",""
"Выход пользователя из личного кабинета","1422","Выход из профиля","tests","Sat May 10 19:16:25 MSK 2025","broken","Sat May 10 19:16:26 MSK 2025","TestProfile","test_profile","",""
"Проверка, что созданный пользователем заказ появляется в ленте","0","test_user_orders_appear_in_feed[firefox]","tests","Sat May 10 19:10:57 MSK 2025","broken","Sat May 10 19:10:57 MSK 2025","TestOrderFeed","test_order_feed","",""
"Открытие деталей заказа из ленты заказов","10600","test_open_order_details_from_feed[firefox]","tests","Sat May 10 19:10:28 MSK 2025","passed","Sat May 10 19:10:39 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка открытия и закрытия окна с деталями ингредиента","13882","Открытие и закрытие окна деталей ингредиента","tests","Sat May 10 19:09:22 MSK 2025","passed","Sat May 10 19:09:36 MSK 2025","TestMainPage","test_main_page","",""
